business_score,valuation_score,readiness_score,decision
49,86,57,WAIT
49,73,39,AVOID
77,46,60,WAIT
59,53,84,WAIT
35,33,46,AVOID
77,51,52,WAIT
51,87,60,WAIT
77,58,62,WAIT
36,74,38,AVOID
70,39,47,WAIT
62,54,77,WAIT
76,57,55,WAIT
77,49,30,WAIT
65,45,86,WAIT
78,60,90,BUY
89,78,49,BUY
52,64,69,WAIT
88,61,36,WAIT
69,76,31,WAIT
53,86,39,WAIT
90,78,49,BUY
69,49,36,WAIT
42,89,78,WAIT
68,67,69,WAIT
83,44,81,WAIT
30,31,60,AVOID
52,50,79,WAIT
69,54,37,WAIT
71,50,44,WAIT
58,49,66,WAIT
33,32,59,AVOID
36,74,64,AVOID
88,60,53,WAIT
53,79,65,WAIT
32,79,63,AVOID
77,84,74,BUY
43,31,74,AVOID
33,43,66,AVOID
70,30,34,AVOID
56,63,38,AVOID
57,49,65,WAIT
78,37,85,WAIT
71,41,81,WAIT
68,69,62,WAIT
86,54,73,WAIT
85,64,81,BUY
38,32,30,AVOID
43,49,45,AVOID
58,34,43,AVOID
58,78,90,WAIT
76,65,82,WAIT
71,39,51,WAIT
30,55,49,AVOID
69,48,47,WAIT
76,70,88,BUY
76,68,85,BUY
35,69,68,AVOID
77,44,31,WAIT
56,66,45,WAIT
71,46,85,WAIT
58,32,36,AVOID
55,87,42,WAIT
39,38,74,AVOID
36,50,69,AVOID
70,67,76,WAIT
39,61,56,AVOID
61,61,60,WAIT
45,81,50,WAIT
70,64,43,WAIT
64,62,90,WAIT
40,37,37,AVOID
38,58,48,AVOID
60,64,70,WAIT
69,34,73,WAIT
65,66,48,WAIT
55,48,62,AVOID
82,37,58,WAIT
37,64,75,AVOID
38,38,50,AVOID
52,55,39,AVOID
88,72,73,BUY
81,51,33,WAIT
85,39,84,WAIT
44,75,50,AVOID
63,48,73,WAIT
44,51,73,AVOID
31,38,71,AVOID
88,69,57,BUY
46,90,39,WAIT
30,83,33,AVOID
70,50,85,WAIT
40,58,33,AVOID
79,68,75,WAIT
76,58,71,WAIT
57,77,80,WAIT
43,72,37,AVOID
30,81,55,AVOID
64,45,53,WAIT
51,86,63,WAIT
52,52,85,WAIT
72,54,47,WAIT
83,41,48,WAIT
58,73,41,WAIT
46,87,42,WAIT
36,67,68,AVOID
56,54,75,WAIT
75,38,86,WAIT
36,90,89,WAIT
76,42,61,WAIT
78,40,57,WAIT
59,52,84,WAIT
32,56,35,AVOID
39,50,56,AVOID
87,40,68,WAIT
33,86,68,WAIT
31,78,73,AVOID
52,43,84,WAIT
50,47,52,AVOID
58,67,77,WAIT
51,87,62,WAIT
35,56,33,AVOID
82,83,89,BUY
83,69,60,WAIT
86,75,90,BUY
71,80,49,WAIT
80,37,48,WAIT
41,82,73,WAIT
51,54,77,WAIT
32,73,77,AVOID
66,58,83,WAIT
69,78,33,WAIT
47,88,57,WAIT
55,73,32,WAIT
38,80,89,WAIT
55,30,79,AVOID
84,88,56,BUY
81,34,86,WAIT
56,30,69,AVOID
40,79,69,WAIT
32,37,85,AVOID
55,53,62,WAIT
58,48,75,WAIT
66,63,56,WAIT
72,39,56,WAIT
85,59,85,BUY
87,56,84,BUY
42,64,74,WAIT
88,85,58,BUY
88,66,48,WAIT
39,48,49,AVOID
58,59,85,WAIT
40,75,54,AVOID
76,77,60,WAIT
50,40,58,AVOID
39,80,85,WAIT
88,83,66,BUY
76,77,46,WAIT
76,35,75,WAIT
72,69,61,WAIT
49,62,55,AVOID
77,78,83,BUY
52,52,36,AVOID
74,31,31,AVOID
68,88,36,WAIT
72,35,82,WAIT
31,49,71,AVOID
33,87,53,AVOID
61,31,37,AVOID
53,78,34,WAIT
45,78,76,WAIT
53,56,46,AVOID
37,57,74,AVOID
68,88,52,WAIT
62,65,66,WAIT
65,39,58,WAIT
80,55,75,WAIT
48,59,47,AVOID
78,68,80,BUY
35,67,83,AVOID
45,76,73,WAIT
81,53,75,WAIT
37,79,53,AVOID
55,57,35,AVOID
39,89,45,WAIT
63,78,80,WAIT
72,47,41,WAIT
52,35,36,AVOID
44,39,49,AVOID
57,62,79,WAIT
45,89,66,WAIT
61,84,90,WAIT
70,31,80,WAIT
67,90,77,BUY
71,71,86,WAIT
34,86,34,AVOID
86,62,51,WAIT
85,75,41,WAIT
49,90,65,WAIT
74,87,38,WAIT
39,31,68,AVOID
74,74,47,WAIT
37,78,47,AVOID
55,31,43,AVOID
64,47,41,AVOID
38,30,64,AVOID
61,37,48,AVOID
42,76,90,WAIT
73,88,59,WAIT
45,78,86,WAIT
49,44,45,AVOID
37,38,37,AVOID
66,33,30,AVOID
89,37,33,WAIT
57,82,32,WAIT
62,52,50,WAIT
83,50,42,WAIT
59,30,36,AVOID
71,34,43,AVOID
79,67,87,BUY
83,32,54,WAIT
78,39,82,WAIT
79,46,58,WAIT
30,35,44,AVOID
33,36,62,AVOID
75,78,52,WAIT
42,73,89,WAIT
30,84,35,AVOID
46,31,56,AVOID
84,52,66,WAIT
35,59,60,AVOID
76,33,32,AVOID
57,69,87,WAIT
34,30,43,AVOID
71,51,90,WAIT
73,90,84,BUY
54,57,72,WAIT
34,88,67,WAIT
58,44,57,AVOID
82,62,90,BUY
43,45,88,AVOID
89,69,79,BUY
30,60,62,AVOID
39,63,64,AVOID
30,67,81,AVOID
62,37,68,WAIT
70,37,66,WAIT
45,69,60,WAIT
59,71,40,WAIT
74,49,85,WAIT
90,50,55,WAIT
83,56,69,WAIT
70,80,55,WAIT
37,30,50,AVOID
36,31,43,AVOID
73,90,71,BUY
39,65,69,AVOID
58,63,40,WAIT
41,46,42,AVOID
47,88,32,WAIT
54,37,64,AVOID
66,75,63,WAIT
31,85,60,AVOID
68,57,41,WAIT
58,47,89,WAIT
44,67,79,WAIT
80,44,75,WAIT
71,43,45,WAIT
39,84,89,WAIT
32,56,32,AVOID
41,52,30,AVOID
66,41,58,WAIT
57,39,59,AVOID
88,66,66,BUY
72,49,71,WAIT
74,76,61,WAIT
57,84,66,WAIT
87,59,48,WAIT
66,86,71,WAIT
76,35,66,WAIT
78,76,47,WAIT
69,83,68,WAIT
53,45,85,WAIT
50,48,55,AVOID
71,63,38,WAIT
47,86,41,WAIT
36,90,38,AVOID
81,30,30,WAIT
62,52,39,AVOID
55,60,53,WAIT
52,38,89,WAIT
32,65,32,AVOID
31,34,75,AVOID
66,86,89,BUY
34,69,35,AVOID
58,68,30,WAIT
77,67,56,WAIT
66,76,68,WAIT
60,57,90,WAIT
87,41,70,WAIT
38,45,41,AVOID
73,66,35,WAIT
70,31,55,WAIT
58,51,69,WAIT
39,87,76,WAIT
46,70,80,WAIT
32,69,65,AVOID
81,37,66,WAIT
52,85,81,WAIT
46,38,46,AVOID
67,37,44,AVOID
65,75,75,WAIT
88,61,81,BUY
34,51,88,AVOID
81,30,64,WAIT
82,82,44,WAIT
46,41,66,AVOID
65,35,41,AVOID
68,64,72,WAIT
90,90,49,BUY
82,60,36,WAIT
35,84,40,AVOID
78,40,85,WAIT
49,68,45,AVOID
87,53,75,WAIT
75,90,84,BUY
30,78,56,AVOID
60,39,33,AVOID
72,60,50,WAIT
47,65,41,AVOID
44,53,32,AVOID
87,57,36,WAIT
85,65,40,WAIT
45,53,39,AVOID
43,66,90,WAIT
83,30,41,WAIT
82,77,45,WAIT
32,39,41,AVOID
75,71,89,BUY
66,84,81,WAIT
60,55,87,WAIT
64,36,34,AVOID
90,71,65,BUY
76,37,85,WAIT
66,32,86,WAIT
51,59,42,AVOID
64,45,33,AVOID
86,35,34,WAIT
64,67,65,WAIT
82,74,66,BUY
48,79,39,WAIT
47,84,90,WAIT
72,34,72,WAIT
46,81,89,WAIT
71,41,54,WAIT
68,71,73,WAIT
52,70,61,WAIT
68,47,59,WAIT
63,70,83,WAIT
75,51,42,WAIT
38,74,66,AVOID
56,86,43,WAIT
88,64,30,WAIT
73,61,30,WAIT
69,84,89,BUY
43,43,80,AVOID
40,40,81,AVOID
32,38,56,AVOID
60,68,61,WAIT
82,43,47,WAIT
46,48,54,AVOID
47,77,61,WAIT
47,34,49,AVOID
71,44,45,WAIT
50,36,64,AVOID
44,72,72,WAIT
43,46,86,AVOID
30,86,72,WAIT
31,50,60,AVOID
86,45,46,WAIT
59,78,40,WAIT
83,39,60,WAIT
48,71,52,WAIT
43,82,36,AVOID
55,46,44,AVOID
49,86,67,WAIT
61,50,65,WAIT
75,42,52,WAIT
55,52,35,AVOID
42,47,51,AVOID
76,39,67,WAIT
79,64,33,WAIT
88,54,45,WAIT
77,74,88,BUY
74,54,70,WAIT
31,70,58,AVOID
82,32,71,WAIT
74,67,82,WAIT
86,57,34,WAIT
81,31,54,WAIT
50,90,76,WAIT
86,68,56,WAIT
86,61,67,WAIT
36,33,51,AVOID
81,32,82,WAIT
86,62,35,WAIT
33,40,61,AVOID
54,74,75,WAIT
86,80,83,BUY
61,55,90,WAIT
72,88,69,BUY
30,74,30,AVOID
76,47,35,WAIT
30,35,90,AVOID
65,50,31,AVOID
63,43,34,AVOID
82,84,47,BUY
45,30,73,AVOID
79,35,56,WAIT
86,71,86,BUY
83,85,80,BUY
70,52,78,WAIT
45,51,53,AVOID
79,56,76,WAIT
71,74,74,WAIT
65,49,38,AVOID
60,86,39,WAIT
86,30,39,WAIT
33,36,65,AVOID
35,34,74,AVOID
33,80,70,AVOID
50,50,56,AVOID
39,32,32,AVOID
41,73,66,WAIT
67,52,35,WAIT
54,43,65,AVOID
77,54,37,WAIT
58,41,48,AVOID
49,42,46,AVOID
61,75,58,WAIT
81,49,79,WAIT
38,54,60,AVOID
42,89,42,WAIT
71,56,38,WAIT
47,86,69,WAIT
69,88,61,WAIT
59,74,48,WAIT
54,60,35,AVOID
33,62,32,AVOID
74,74,85,BUY
67,58,84,WAIT
58,61,72,WAIT
44,61,66,AVOID
59,53,42,AVOID
43,68,82,WAIT
85,72,56,BUY
66,30,72,WAIT
83,69,65,BUY
40,47,38,AVOID
59,41,57,AVOID
79,34,49,WAIT
75,60,37,WAIT
81,59,61,WAIT
83,82,54,BUY
48,77,74,WAIT
40,79,80,WAIT
82,38,45,WAIT
73,83,45,WAIT
88,59,59,WAIT
72,39,63,WAIT
35,47,41,AVOID
67,62,86,WAIT
86,56,46,WAIT
45,62,74,WAIT
49,51,90,WAIT
51,32,65,AVOID
83,73,72,BUY
74,45,69,WAIT
57,62,68,WAIT
39,63,85,WAIT
59,89,79,WAIT
69,89,35,WAIT
31,33,37,AVOID
61,78,58,WAIT
56,41,70,AVOID
58,76,66,WAIT
86,54,56,WAIT
79,44,51,WAIT
40,85,58,WAIT
82,88,34,WAIT
41,32,48,AVOID
80,68,79,BUY
78,33,81,WAIT
67,78,32,WAIT
55,68,41,WAIT
65,53,88,WAIT
71,59,39,WAIT
81,57,78,WAIT
70,49,50,WAIT
72,66,39,WAIT
67,61,31,WAIT
57,50,38,AVOID
69,72,76,WAIT
74,68,55,WAIT
35,38,76,AVOID
86,55,41,WAIT
87,63,38,WAIT
72,64,52,WAIT
30,65,76,AVOID
38,68,45,AVOID
88,34,34,WAIT
64,84,41,WAIT
68,69,36,WAIT
43,43,41,AVOID
71,89,67,BUY
53,79,67,WAIT
45,50,31,AVOID
65,74,34,WAIT
86,62,32,WAIT
50,70,89,WAIT
33,86,70,WAIT
43,57,83,WAIT
57,71,45,WAIT
82,30,50,WAIT
87,42,47,WAIT
90,47,53,WAIT
72,87,60,WAIT
63,78,84,WAIT
82,57,44,WAIT
69,30,85,WAIT
68,62,66,WAIT
37,49,77,AVOID
80,57,73,WAIT
79,53,63,WAIT
45,38,78,AVOID
65,68,58,WAIT
50,70,66,WAIT
37,43,78,AVOID
36,90,41,AVOID
50,73,83,WAIT
81,42,75,WAIT
30,87,41,AVOID
84,59,72,WAIT
80,39,80,WAIT
31,74,55,AVOID
41,30,36,AVOID
43,36,70,AVOID
33,59,67,AVOID
75,32,88,WAIT
88,40,86,WAIT
35,70,42,AVOID
79,53,39,WAIT
39,37,59,AVOID
45,88,85,WAIT
76,81,65,BUY
34,68,40,AVOID
90,89,64,BUY
53,53,51,AVOID
71,89,79,BUY
64,44,81,WAIT
82,55,66,WAIT
63,34,61,AVOID
64,60,89,WAIT
33,80,80,WAIT
34,66,39,AVOID
47,71,85,WAIT
59,70,79,WAIT
63,66,46,WAIT
59,40,69,WAIT
32,44,57,AVOID
55,61,89,WAIT
62,82,65,WAIT
50,72,36,AVOID
39,82,36,AVOID
48,90,32,WAIT
48,30,64,AVOID
59,88,56,WAIT
45,49,59,AVOID
35,90,37,AVOID
50,37,73,AVOID
76,69,46,WAIT
83,51,73,WAIT
31,44,48,AVOID
89,57,79,BUY
70,59,90,WAIT
64,57,89,WAIT
59,38,70,AVOID
72,34,69,WAIT
34,66,45,AVOID
47,59,52,AVOID
76,88,80,BUY
46,79,43,WAIT
87,39,70,WAIT
52,60,61,WAIT
33,61,76,AVOID
46,35,65,AVOID
40,88,55,WAIT
84,64,59,WAIT
34,75,45,AVOID
63,90,85,BUY
66,52,90,WAIT
86,46,40,WAIT
79,49,33,WAIT
44,78,50,WAIT
38,56,54,AVOID
76,78,65,WAIT
61,80,69,WAIT
90,52,86,BUY
61,81,89,WAIT
48,34,48,AVOID
76,34,85,WAIT
89,63,71,BUY
55,88,46,WAIT
62,82,83,WAIT
74,72,53,WAIT
45,85,89,WAIT
86,51,72,WAIT
41,81,88,WAIT
87,31,84,WAIT
86,46,76,WAIT
41,34,59,AVOID
30,78,54,AVOID
70,88,75,BUY
57,60,64,WAIT
60,51,59,WAIT
47,37,35,AVOID
56,60,52,WAIT
51,69,55,WAIT
48,65,88,WAIT
82,72,70,BUY
61,63,37,WAIT
34,47,38,AVOID
60,58,40,WAIT
56,43,66,AVOID
83,57,52,WAIT
30,57,39,AVOID
72,87,62,WAIT
85,31,36,WAIT
37,50,35,AVOID
34,86,78,WAIT
53,55,76,WAIT
72,90,83,BUY
42,31,81,AVOID
46,63,89,WAIT
76,80,59,WAIT
87,35,43,WAIT
53,79,37,WAIT
55,69,64,WAIT
30,77,40,AVOID
87,89,64,BUY
59,42,54,AVOID
45,47,54,AVOID
38,65,35,AVOID
74,56,90,WAIT
88,67,47,WAIT
45,49,73,AVOID
41,58,71,AVOID
72,47,44,WAIT
62,34,34,AVOID
82,88,48,BUY
37,82,52,AVOID
82,43,82,WAIT
55,61,43,AVOID
80,67,57,WAIT
32,85,77,WAIT
41,83,56,WAIT
54,42,83,WAIT
75,42,40,WAIT
75,66,40,WAIT
81,53,56,WAIT
66,42,31,AVOID
78,48,67,WAIT
49,67,64,WAIT
75,81,53,WAIT
81,54,63,WAIT
67,55,34,WAIT
64,37,35,AVOID
88,80,52,BUY
83,56,70,WAIT
86,86,52,BUY
77,32,54,WAIT
78,80,54,WAIT
73,68,57,WAIT
39,53,89,AVOID
68,33,82,WAIT
77,62,58,WAIT
62,70,49,WAIT
73,47,46,WAIT
69,48,77,WAIT
75,84,42,WAIT
56,84,87,WAIT
43,64,56,AVOID
56,42,33,AVOID
82,84,64,BUY
85,52,32,WAIT
63,37,55,AVOID
60,59,42,WAIT
59,58,40,AVOID
57,34,68,AVOID
37,79,67,WAIT
57,30,35,AVOID
66,56,87,WAIT
38,63,85,AVOID
83,31,38,WAIT
34,40,53,AVOID
56,30,46,AVOID
49,82,31,WAIT
69,64,54,WAIT
40,82,36,AVOID
59,85,36,WAIT
79,58,77,WAIT
68,46,36,WAIT
60,66,33,WAIT
67,53,45,WAIT
60,51,35,AVOID
75,31,49,WAIT
82,61,85,BUY
33,86,31,AVOID
39,33,46,AVOID
42,57,86,WAIT
79,40,40,WAIT
90,39,48,WAIT
36,88,36,AVOID
45,84,89,WAIT
82,66,82,BUY
61,51,64,WAIT
50,54,34,AVOID
74,43,77,WAIT
90,32,74,WAIT
41,55,79,AVOID
84,49,30,WAIT
47,35,82,AVOID
74,42,66,WAIT
38,80,77,WAIT
68,44,44,WAIT
45,59,47,AVOID
69,39,80,WAIT
43,81,33,AVOID
61,40,48,AVOID
85,49,41,WAIT
68,47,35,WAIT
52,79,62,WAIT
60,72,47,WAIT
74,50,77,WAIT
47,39,75,AVOID
38,80,81,WAIT
79,56,41,WAIT
77,54,56,WAIT
36,62,47,AVOID
73,52,56,WAIT
44,56,36,AVOID
74,82,74,BUY
78,62,33,WAIT
49,57,67,AVOID
46,58,40,AVOID
73,49,44,WAIT
78,82,58,BUY
67,38,83,WAIT
30,38,55,AVOID
86,72,66,BUY
85,73,58,BUY
79,32,48,WAIT
51,51,37,AVOID
49,51,90,WAIT
42,84,52,WAIT
90,74,51,BUY
36,44,42,AVOID
60,32,69,AVOID
47,74,52,WAIT
69,65,30,WAIT
45,39,33,AVOID
88,74,86,BUY
68,76,42,WAIT
53,63,44,AVOID
38,67,36,AVOID
90,83,44,BUY
75,72,64,WAIT
48,48,37,AVOID
44,47,51,AVOID
90,42,35,WAIT
47,90,59,WAIT
42,31,76,AVOID
45,78,65,WAIT
48,56,51,AVOID
70,48,41,WAIT
58,35,87,WAIT
37,57,81,AVOID
38,90,37,AVOID
75,53,49,WAIT
32,85,41,AVOID
77,89,89,BUY
84,89,37,BUY
78,83,54,WAIT
53,74,63,WAIT
68,75,78,WAIT
38,71,73,AVOID
61,42,31,AVOID
69,90,75,BUY
37,86,61,WAIT
64,46,88,WAIT
45,66,84,WAIT
45,42,51,AVOID
80,73,83,BUY
88,73,55,BUY
45,34,54,AVOID
59,82,49,WAIT
57,73,35,WAIT
51,37,85,AVOID
34,81,45,AVOID
53,31,51,AVOID
52,80,85,WAIT
49,49,70,AVOID
44,80,52,WAIT
83,57,38,WAIT
64,73,59,WAIT
85,56,68,WAIT
43,38,83,AVOID
43,78,50,AVOID
76,35,55,WAIT
71,87,58,WAIT
34,76,75,AVOID
52,51,86,WAIT
66,41,68,WAIT
83,60,82,BUY
45,77,68,WAIT
44,48,68,AVOID
84,39,36,WAIT
90,48,39,WAIT
51,73,75,WAIT
31,47,34,AVOID
53,75,77,WAIT
59,64,61,WAIT
72,54,57,WAIT
77,41,80,WAIT
86,55,47,WAIT
61,79,83,WAIT
89,56,72,BUY
86,53,72,WAIT
82,39,73,WAIT
55,49,37,AVOID
86,46,59,WAIT
49,63,45,AVOID
64,44,75,WAIT
62,54,66,WAIT
34,53,41,AVOID
75,72,82,BUY
78,44,62,WAIT
60,41,67,WAIT
51,48,75,AVOID
80,69,67,WAIT
82,36,83,WAIT
40,57,58,AVOID
80,34,74,WAIT
69,71,77,WAIT
70,56,57,WAIT
76,71,82,BUY
76,81,30,WAIT
80,83,46,WAIT
62,74,42,WAIT
67,38,70,WAIT
44,48,40,AVOID
49,45,36,AVOID
65,44,70,WAIT
50,78,90,WAIT
58,49,61,WAIT
40,74,81,WAIT
70,86,62,WAIT
49,69,39,AVOID
79,34,53,WAIT
80,75,37,WAIT
46,47,48,AVOID
48,45,61,AVOID
65,64,85,WAIT
74,36,56,WAIT
59,50,77,WAIT
82,41,57,WAIT
49,60,89,WAIT
30,31,49,AVOID
78,90,80,BUY
90,58,34,WAIT
65,32,90,WAIT
88,52,74,WAIT
64,59,34,WAIT
46,75,71,WAIT
43,35,40,AVOID
78,62,89,BUY
77,71,90,BUY
63,87,45,WAIT
67,83,63,WAIT
66,35,78,WAIT
77,59,54,WAIT
80,71,87,BUY
90,89,36,BUY
31,50,39,AVOID
63,75,52,WAIT
59,51,77,WAIT
78,66,33,WAIT
89,53,78,BUY
32,52,78,AVOID
41,77,51,AVOID
74,41,74,WAIT
48,78,53,WAIT
44,42,31,AVOID
55,41,62,AVOID
41,45,85,AVOID
51,69,80,WAIT
79,68,37,WAIT
81,89,38,WAIT
76,80,45,WAIT
75,42,86,WAIT
36,62,75,AVOID
76,42,68,WAIT
34,79,56,AVOID
39,39,34,AVOID
58,57,51,WAIT
32,69,35,AVOID
68,50,86,WAIT
57,64,67,WAIT
69,68,38,WAIT
35,56,35,AVOID
58,46,67,WAIT
33,35,31,AVOID
51,55,90,WAIT
50,42,81,AVOID
31,49,59,AVOID
69,39,53,WAIT
31,60,80,AVOID
33,88,46,AVOID
56,65,49,WAIT
50,56,65,AVOID
48,52,32,AVOID
73,40,87,WAIT
32,77,52,AVOID
86,86,89,BUY
50,58,36,AVOID
71,82,78,BUY
50,57,80,WAIT
35,51,67,AVOID
66,39,36,AVOID
59,60,67,WAIT
64,87,90,BUY
53,69,41,WAIT
51,77,55,WAIT
63,59,50,WAIT
57,78,72,WAIT
42,30,52,AVOID
59,60,85,WAIT
73,73,73,WAIT
32,46,37,AVOID
35,70,66,AVOID
60,87,41,WAIT
59,56,31,AVOID
65,38,74,WAIT
52,33,78,AVOID
31,79,75,AVOID
87,83,31,WAIT
68,37,85,WAIT
39,52,65,AVOID
49,64,70,WAIT
35,72,53,AVOID
50,63,84,WAIT
45,47,51,AVOID
51,76,76,WAIT
81,75,82,BUY
43,80,53,WAIT
66,58,57,WAIT
89,55,89,BUY
64,34,83,WAIT
61,43,45,AVOID
66,46,38,AVOID
42,90,58,WAIT
53,36,44,AVOID
84,41,89,WAIT
33,63,51,AVOID
67,90,88,BUY
31,35,36,AVOID
51,90,48,WAIT
69,79,46,WAIT
65,46,44,WAIT
49,52,77,WAIT
59,43,74,WAIT
57,34,61,AVOID
88,79,86,BUY
89,79,49,BUY
58,68,69,WAIT
88,59,66,WAIT
80,34,90,WAIT
54,89,55,WAIT
33,63,66,AVOID
82,75,41,WAIT
77,41,50,WAIT
66,74,39,WAIT
79,40,34,WAIT
61,87,40,WAIT
56,41,37,AVOID
78,42,62,WAIT
62,59,90,WAIT
86,88,45,BUY
85,73,58,BUY
56,55,65,WAIT
68,66,65,WAIT
